apple,omena  
basement,kellari  
attic,ullakko  
furniture,huonekalut  
bed,sänky  
sofa,sohva  
chair,tuoli  
table,pöytä  
lamp,lamppu  
mirror,peili  
clock,kello  
television,televisio  
remote,kaukosäädin  
phone,puhelin  
computer,tietokone  
keyboard,näppäimistö  
mouse,hiiri  
screen,ruutu  
camera,kamera  
picture,kuva  
photo,valokuva  
book,kirja  
magazine,aikakauslehti  
newspaper,sanomalehti  
letter,kirje  
envelope,kuori  
stamp,posti  
pen,kynä  
pencil,lyijykynä  
eraser,kumi  
ruler,viivain  
notebook,muistikirja  
bag,reppu  
box,laatikko  
school,koulu  
university,yliopisto  
student,opiskelija  
teacher,opettaja  
classroom,luokkahuone  
lesson,tunti  
subject,aine  
homework,läksy  
exam,koe  
question,kysymys  
answer,vastaus  
grade,arvosana  
language,kieli  
math,matematiikka  
science,tiede  
history,historia  
geography,maantieto  
art,taide  
music,musiikki  
sport,urheilu  
ball,pallo  
game,peli  
team,joukkue  
player,pelaaja  
coach,valmentaja  
score,pisteet  
win,voittaa  
lose,hävitä  
draw,tasapeli  
race,kilpailu  
run,juosta  
jump,hypätä  
swim,uida  
climb,kiivetä  
throw,heittää  
catch,ottaa kiinni  
kick,potkaista  
hit,lyödä  
push,työntää  
pull,vetää  
lift,nostaa  
carry,kantaa  
sit,istua  
stand,seistä  
walk,kävellä  
drive,ajaa  
ride,ajaa (ratsastaa)  
fly,lentää  
sail,purjehtia  
stop,pysähtyä  
go,menna  
come,tulla  
leave,lähteä  
arrive,saapua  
stay,jäädä  
sleep,nukkua  
wake,herätä  
eat,syödä  
drink,juoda  
cook,kypsentää  
cut,leikata  
open,avaa  
close,sulkea  
wash,pestä  
clean,siivota  
build,rakentaa  
break,rikkoutua  
fix,korjata  
make,tehdä  
do,tehdä  
have,olla  
be,olla  
see,nähdä  
look,katsoa  
watch,katsoa  
hear,kuulla  
listen,kuunnella  
smell,haistaa  
taste,maistaa  
touch,koskea  
feel,tuntea  
love,rakastaa  
like,tykätä  
hate,vihata  
need,tarvita  
want,haluta  
know,tietää  
think,ajatella  
understand,ymmärtää  
remember,muistaa  
forget,unohtaa  
say,sanoa  
tell,kertoa  
speak,puhua  
talk,puhua  
ask,kysyä  
answer,vastata  
